,latitude,longitude,bc,co,no2,o3,pm10,pm25,so2
332,-12.0705278,-77.0431667,,0.8,0.0335,0.0056,44.7,6.6,0.0013
333,33.217026,-117.396156,,,,0.011,,8.0,
334,35.26,-79.84,,,,0.03,,,
335,35.2632,-79.8635,,,,,,9.3,
336,38.2286,-85.6544,,0.23,0.004,0.011,14.0,10.1,0.0
337,51.27399,1.098061,,,12.0,21.0,,,
338,40.800797,-81.372853,,0.5,,,,6.6,
339,40.828052,-81.378333,,,,0.005,,,
340,38.4583,-109.8211,,,,0.033,,,
341,26.5475,-81.9797,,,,0.024,,,
342,43.561043,-70.207321,,,,0.007,,,
343,32.941002,-79.656998,,,0.003,0.007,,15.9,0.0
344,30.4622,-91.1769,,,,0.001,,14.2,
345,-11.9021944,-77.0336389,,0.5,0.0013,0.0,92.5,26.7,0.0021
346,51.48178,-3.17625,,,15.0,22.0,20.0,13.0,2.0
347,40.2464,-77.1867,,,,,,3.7,
348,54.894834,-2.945307,,,22.0,,16.0,12.0,
349,32.38,-104.2622,,,,0.013,,,
350,30.1433,-93.3719,,,,0.004,,,
351,36.542105,-121.92295,,,,,,13.0,
352,36.483299,-121.731903,,,,0.021,,3.0,
353,51.95,-114.7,,,,0.008,,0.2,
354,41.6031,-93.643303,,,,0.012,,9.0,
355,34.402802,-119.457497,,,,0.004,,,
356,45.08029,-70.211887,,,,,,-2.0,
357,35.35474,-120.04013,,,,0.002,,,
358,53.6072,-115.8769,,,,0.017,,,
359,37.19822,-94.31702,,,,,15.0,,
360,30.1975,-91.1283,,,,0.003,,,
361,42.2211,-88.2411,,,,0.001,,3.5,
362,33.11753,-111.88491,,,,,24.0,,
363,32.877583,-111.852219,,,,,20.0,,
364,41.8956,-86.0017,,,,0.03,,,
365,34.3561,-77.8617,,,,0.009,,12.7,
366,45.2803,-66.0561,,,,,,3.0,
367,18.428388,-66.141657,,,,,25.0,7.4,
368,-32.779208,-70.959114,,,,,,,13.0
369,46.8369,-71.6228,,,,0.004,,,
370,-34.241168,-70.55283,,,,,,,0.0
371,33.8217,-112.0174,,,,0.029,,,
372,42.1617,-123.64835,,,,,,3.3,
373,33.969145,-81.06629,,,,,35.0,,
374,-36.683859,-72.465292,,,,,,,3.49
375,39.144804,-119.766409,,,,0.039,,3.0,
376,40.8197,-73.9481,,,,0.012,,4.6,
377,38.8795,-80.8477,,,,0.027,,,
378,36.0603,-86.2861,,,,0.054,,,
379,38.7703,-99.7636,,,,0.016,,6.3,
380,45.13,18.7,,127.0,2.0,36.0,13.0,,17.0
381,41.3642,-106.2399,,,,0.048,,,
382,40.310025,-82.691724,,,,0.023,,,
383,33.4579,-112.046,,0.4,0.02,0.001,26.0,,0.001
384,26.85272778,80.99632778,,3000.0,115.19,11.74,,180.93,
385,-33.492848789461,-70.719440279762,,137.38,19.18,14.98,39.0,8.0,
386,-37.021182877699,-73.149555550926,,,,,0.0,7.249,4.97
387,-33.433089610143,-70.732147868717,,91.58,20.68,18.81,29.0,10.0,
388,32.9544,-111.7622,,,,0.004,,,
389,-42.949203814656,-72.725001133461,,,,,31.369999999999997,,
390,19.2669,-98.886,,0.9,,0.004,23.0,,0.001
391,29.9431,-89.9761,,,,,,23.3,0.003
392,31.7656,-106.455,,,,0.009,,,
393,19.95,79.3,,360.0,7.54,3.53,95.0,64.0,7.07
394,29.8025,-95.1256,,,,0.002,,,
395,29.8027073,-95.1254948,,,0.0097,0.047,,,
396,37.67696,-95.47594,,,,0.017,10.0,,
397,49.8222,-74.9764,,,,0.023,,,
398,32.0411,-106.4092,,,,0.017,3.0,,
399,40.1469,-79.9033,,,,0.014,,8.6,
400,46.4425,-72.8928,,,,0.002,,,
401,38.346258,-81.621161,,,,0.013,,,
402,32.791,-79.959,,,,,,11.0,
403,38.393833,-85.664167,,,,0.013,,,
404,46.2406,-63.1306,,,0.009,0.015,,1.0,0.0
405,37.122561,-93.263161,,,,,,,0.001
406,51.05625,-2.68345,,,8.0,33.0,,,
407,39.5339,-105.07,,,,0.03,,,
408,42.4033,-82.2086,,,,0.004,,5.0,
409,51.374264,0.54797,,,25.0,,24.0,17.0,
410,48.2867,-124.6203,,0.12,,0.02,,0.5,0.001
411,46.664089,-122.967323,,,,,,5.7,
412,47.83861,-120.02306,,,,,,3.2,
413,47.416401,-117.5298,,,,0.002,,,
414,30.63,104.07,,,,,,71.0,
415,45.60185,-73.54197,,,0.004,,,2.5,
416,51.638094,-2.678731,,,32.0,,27.0,19.0,
417,36.3028,-79.4667,,,,0.027,16.0,,
418,39.8356,-75.3725,,,,0.016,,6.4,
